,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
205,CNN,Mona Lisa,alpha,SGD,0.001,0.001,21,0.9661290322580646,0.8612903225806452,0.864516129032258,96.96,2.18,0.8925458103540295
143,Small,Necker cube,delta,Adamax,1e-05,1.0000000000000002e-06,47,0.9576612903225806,0.8548387096774194,0.8612903225806452,221.15,2.15,0.9559686888454012
81,Big,Mona Lisa,beta,RMSprop,0.01,0.01,14,0.9096774193548388,0.8741935483870967,0.8612903225806452,63.01,2.07,0.9228340152997688
47,Big,Necker cube,gamma,NAdam,0.01,0.001,43,0.9471774193548388,0.8741935483870967,0.8612903225806452,207.2,2.15,0.937666785269525
188,CNN,Mona Lisa,gamma,Adadelta,0.001,0.0001,52,0.9657258064516128,0.864516129032258,0.8580645161290322,246.07,2.15,0.886052303860523
93,Big,Necker cube,gamma,Adagrad,0.01,0.001,23,0.9544354838709678,0.8774193548387097,0.8548387096774194,108.2,2.15,0.8991282689912827
61,Big,Necker cube,gamma,RMSprop,0.01,0.001,41,0.9407258064516127,0.8838709677419355,0.8548387096774194,194.34,2.16,0.8937466642946094
180,Big,Mona Lisa,alpha,Adagrad,0.01,0.001,35,0.954032258064516,0.867741935483871,0.8548387096774194,155.45,2.08,0.9205657356342288
144,Big,Necker cube,delta,Adadelta,0.01,0.0001,65,0.942741935483871,0.8516129032258064,0.8548387096774194,321.89,2.18,0.9492972780644012
34,Big,Mona Lisa,delta,Adadelta,0.01,0.01,68,0.942741935483871,0.9032258064516128,0.8516129032258064,319.69,2.11,0.9412471090553284
111,CNN,Mona Lisa,alpha,Adadelta,0.001,0.001,21,0.967741935483871,0.8870967741935484,0.8516129032258064,99.47,2.11,0.8790250845045366
114,Big,Mona Lisa,gamma,Adamax,0.01,0.01,18,0.9431451612903226,0.8903225806451613,0.8516129032258064,83.49,2.1,0.914027753068849
112,Small,Necker cube,alpha,NAdam,1e-05,1.0000000000000002e-06,126,0.9629032258064516,0.8774193548387097,0.8516129032258064,605.93,2.2,0.9540117416829746
192,CNN,Mona Lisa,gamma,Adagrad,0.001,0.001,14,0.9637096774193548,0.8548387096774194,0.8516129032258064,65.98,2.19,0.8793808930795233
167,Small,Necker cube,theta,Adamax,1e-05,1.0000000000000002e-06,47,0.9641129032258065,0.8806451612903226,0.8516129032258064,225.08,2.18,0.9494307062800214
55,Small,Necker cube,alpha,SGD,1e-05,1e-05,126,0.964516129032258,0.864516129032258,0.8516129032258064,583.18,2.18,0.9298612346557552
85,CNN,Necker cube,gamma,Adamax,0.001,0.001,8,0.9205645161290322,0.8032258064516129,0.8516129032258064,39.06,2.28,0.8793808930795233
201,CNN,Mona Lisa,delta,Adagrad,0.001,0.001,77,0.9661290322580646,0.8935483870967742,0.8516129032258064,362.89,2.2,0.8797367016545099
37,CNN,Mona Lisa,gamma,Adamax,0.001,0.001,9,0.960483870967742,0.8741935483870967,0.8483870967741935,42.64,2.17,0.8757783312577834
68,Big,Necker cube,alpha,Adadelta,0.01,0.01,66,0.9637096774193548,0.8806451612903226,0.8483870967741935,321.96,2.17,0.9524995552392812
101,CNN,Mona Lisa,gamma,SGD,0.001,0.001,34,0.9399193548387096,0.8419354838709677,0.8483870967741935,160.2,2.22,0.8759562355452766
