Model,Accuracy,Precision,Recall,F1-Score,Specificity,Sensitivity,Cohen_Kappa,ROC_AUC,Training_Time,Most_Efficient_Class,signal_fiq,dataset,PreProcesstime
Decision Tree,0.6695278969957081,0.7115384615384616,0.6115702479338843,0.6577777777777778,0.7321428571428571,0.6115702479338843,0.3417837619694024,0.6718565525383707,12.369634866714478,left hemiparesis,beta,Mona Lisa,47.16241240501404
KNN,0.7982832618025751,0.7936507936507936,0.8264462809917356,0.8097165991902834,0.7678571428571429,0.8264462809917356,0.5952917698362836,0.8672520661157026,0.6504671573638916,right hemiparesis,beta,Mona Lisa,47.16241240501404
Naive Bayes,0.5665236051502146,0.6428571428571429,0.371900826446281,0.4712041884816754,0.7767857142857143,0.371900826446281,0.1462104995827741,0.6644775678866588,0.6680583953857422,left hemiparesis,beta,Mona Lisa,47.16241240501404
Deep Learning (Neural Network),0.8240343347639485,0.8636363636363636,0.7851239669421488,0.8225108225108226,0.8660714285714286,0.7851239669421488,0.6488254971878102,0.8981700118063753,306.04319763183594,left hemiparesis,beta,Mona Lisa,47.16241240501404
Random Forest,0.8669527896995708,0.8688524590163934,0.8760330578512396,0.8724279835390946,0.8571428571428571,0.8760330578512396,0.7334194500830411,0.9511511216056671,2.927426815032959,right hemiparesis,gamma,Mona Lisa,46.386698722839355
SVM (RBF),0.8884120171673819,0.88,0.9090909090909091,0.8943089430894309,0.8660714285714286,0.9090909090909091,0.7761932909708882,0.9636216056670601,49.60959434509277,right hemiparesis,gamma,Mona Lisa,46.386698722839355
SVM (Linear),0.8841201716738197,0.9122807017543859,0.859504132231405,0.8851063829787233,0.9107142857142857,0.859504132231405,0.768432289174366,0.9279073199527745,20.333245515823364,right hemiparesis,gamma,Mona Lisa,46.386698722839355
Logistic Regression,0.8841201716738197,0.9122807017543859,0.859504132231405,0.8851063829787233,0.9107142857142857,0.859504132231405,0.768432289174366,0.9279811097992916,4.174935817718506,right hemiparesis,gamma,Mona Lisa,46.386698722839355
Decision Tree,0.6051502145922747,0.6260869565217392,0.5950413223140496,0.6101694915254238,0.6160714285714286,0.5950413223140496,0.21069298181014795,0.6055563754427391,12.345681428909302,right hemiparesis,gamma,Mona Lisa,46.386698722839355
KNN,0.8583690987124464,0.860655737704918,0.8677685950413223,0.8641975308641975,0.8482142857142857,0.8677685950413223,0.7162207049271083,0.9209710743801653,0.7175521850585938,right hemiparesis,gamma,Mona Lisa,46.386698722839355
Naive Bayes,0.5364806866952789,0.6274509803921569,0.2644628099173554,0.37209302325581395,0.8303571428571429,0.2644628099173554,0.09266604168169035,0.578844451003542,0.6492986679077148,left hemiparesis,gamma,Mona Lisa,46.386698722839355
Deep Learning (Neural Network),0.8454935622317596,0.8695652173913043,0.8264462809917356,0.8474576271186441,0.8660714285714286,0.8264462809917356,0.6911407320126666,0.9084268004722551,215.0304398536682,right hemiparesis,gamma,Mona Lisa,46.386698722839355
Random Forest,0.7253218884120172,0.7821782178217822,0.6528925619834711,0.7117117117117117,0.8035714285714286,0.6528925619834711,0.4534525729365195,0.812832054309327,3.200849771499634,left hemiparesis,delta,Necker cube,49.60102438926697
SVM (RBF),0.4892703862660944,0.5128205128205128,0.3305785123966942,0.4020100502512563,0.6607142857142857,0.3305785123966942,-0.008584627696337055,0.5487012987012988,52.372806549072266,left hemiparesis,delta,Necker cube,49.60102438926697
SVM (Linear),0.7167381974248928,0.7433628318584071,0.6942148760330579,0.7179487179487178,0.7410714285714286,0.6942148760330579,0.43413305858110096,0.7555342384887841,26.23120617866516,right hemiparesis,delta,Necker cube,49.60102438926697
Logistic Regression,0.7253218884120172,0.7435897435897436,0.71900826446281,0.7310924369747899,0.7321428571428571,0.71900826446281,0.4505526897568165,0.7754574970484062,28.62061071395874,right hemiparesis,delta,Necker cube,49.60102438926697
