Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
Big,Necker cube,delta,Adam,0.01,0.001,40,0.9032258064516128,0.8290322580645161,0.8290322580645161,204.17,1.71,0.9290606653620352
Big,Necker cube,delta,RMSprop,0.01,0.001,49,0.9080645161290324,0.8451612903225807,0.8258064516129032,236.26,1.71,0.9220334460060488
Big,Necker cube,theta,Adamax,0.01,0.001,65,0.9419354838709676,0.8580645161290322,0.8193548387096774,327.11,1.72,0.9113591887564492
CNN,Necker cube,gamma,Adam,0.001,0.001,19,0.8399193548387097,0.832258064516129,0.8161290322580645,124.64,1.93,0.8420654687777975
Big,Mona Lisa,alpha,RMSprop,0.01,0.001,35,0.9375,0.8419354838709677,0.8161290322580645,245.81,2.82,0.898105319338196
Small,Necker cube,theta,Adagrad,1e-05,1.0000000000000002e-06,47,0.9528225806451612,0.864516129032258,0.8161290322580645,210.23,1.6,0.910425191247109
Big,Necker cube,gamma,NAdam,0.01,0.01,15,0.9092741935483872,0.8741935483870967,0.8129032258064516,80.86,1.71,0.9209215442092156
CNN,Necker cube,alpha,Adagrad,0.001,0.001,32,0.947983870967742,0.8161290322580645,0.8129032258064516,199.77,1.78,0.840775662693471
CNN,Necker cube,delta,Adagrad,0.001,0.001,43,0.9290322580645162,0.8032258064516129,0.8096774193548387,271.35,1.87,0.837706813734211
Big,Necker cube,alpha,Adagrad,0.01,0.01,23,0.9092741935483872,0.8225806451612904,0.8096774193548387,108.66,1.68,0.890188578544743
Small,Necker cube,gamma,SGD,1e-05,1e-05,47,0.9491935483870968,0.8516129032258064,0.8096774193548387,181.28,1.61,0.9170521259562356
Big,Mona Lisa,theta,Adam,0.01,0.001,36,0.9181451612903224,0.7870967741935484,0.8096774193548387,179.94,1.65,0.8896103896103897
Big,Mona Lisa,theta,SGD,0.01,0.001,39,0.9358870967741936,0.8290322580645161,0.8096774193548387,160.09,1.66,0.9227005870841488
Big,Mona Lisa,alpha,Adagrad,0.01,0.01,23,0.914516129032258,0.8387096774193549,0.8064516129032258,159.18,2.71,0.8958815157445293
CNN,Mona Lisa,alpha,RMSprop,0.001,0.0001,26,0.9431451612903226,0.8064516129032258,0.8064516129032258,226.36,2.97,0.8321473047500445
CNN,Necker cube,gamma,NAdam,0.001,0.001,6,0.9435483870967742,0.8129032258064516,0.8064516129032258,39.78,1.92,0.8333926347624979
CNN,Mona Lisa,alpha,Adam,0.001,0.0001,15,0.9544354838709678,0.8096774193548387,0.8064516129032258,130.49,2.95,0.8328589219000178
CNN,Mona Lisa,delta,Adamax,0.001,0.001,21,0.885483870967742,0.8258064516129032,0.8064516129032258,129.04,1.73,0.8333926347624979
CNN,Necker cube,alpha,RMSprop,0.001,0.0001,39,0.9217741935483872,0.8129032258064516,0.8032258064516129,243.95,1.81,0.8299679772282512
Big,Mona Lisa,alpha,Adamax,0.01,0.0001,51,0.9346774193548388,0.8290322580645161,0.8,362.22,2.74,0.9159847002312754
Small,Necker cube,delta,Adagrad,1e-05,1e-05,47,0.9338709677419356,0.8129032258064516,0.8,202.5,1.52,0.9081569115815692
Big,Necker cube,alpha,NAdam,0.01,0.001,43,0.9274193548387096,0.8419354838709677,0.8,228.23,1.7,0.8791362746842198
CNN,Necker cube,alpha,Adam,0.001,0.0001,14,0.9241935483870968,0.7903225806451613,0.7967741935483871,88.73,1.8,0.8238302793097314
CNN,Mona Lisa,theta,Adamax,0.001,0.0001,39,0.95,0.8064516129032258,0.7967741935483871,243.27,1.76,0.8236523750222381
Big,Mona Lisa,delta,RMSprop,0.01,0.0001,64,0.9294354838709676,0.8612903225806452,0.7935483870967742,293.09,1.64,0.8490037359900373
CNN,Necker cube,alpha,NAdam,0.001,0.001,33,0.9125,0.8,0.7903225806451613,210.12,1.79,0.8160914428037715
Big,Necker cube,alpha,SGD,0.01,0.01,24,0.894758064516129,0.8,0.7870967741935484,99.81,1.72,0.903976160825476
Big,Mona Lisa,delta,SGD,0.01,0.01,15,0.8306451612903226,0.7870967741935484,0.7870967741935484,59.21,1.59,0.8852072584949296
CNN,Mona Lisa,theta,NAdam,0.001,0.0001,56,0.8762096774193548,0.7806451612903226,0.7838709677419354,356.11,1.76,0.8095979363102651
Small,Mona Lisa,delta,SGD,1e-05,1.0000000000000002e-07,78,0.9411290322580644,0.8516129032258064,0.7838709677419354,330.98,1.77,0.8986390322006761
Big,Necker cube,theta,NAdam,0.01,0.001,45,0.907258064516129,0.8193548387096774,0.7838709677419354,243.61,1.73,0.8746219533890767
Big,Necker cube,theta,RMSprop,0.01,0.001,31,0.9092741935483872,0.8387096774193549,0.7806451612903226,150.66,1.74,0.8646148372175768
CNN,Necker cube,theta,RMSprop,0.001,0.0001,21,0.8673387096774193,0.7548387096774194,0.7774193548387097,133.7,1.86,0.8036381426792385
